category	question	answer	explanation
実務	放射線荷重係数は、【①】の発生率の推定に適用される。	①確率的影響	吸収線量に放射線荷重係数をかけたものが等価線量
実務	【①】は、特定の臓器または組織の【②】とその組織荷重係数との積の和である。	①預託実効線量②預託等価線量	解説とくになし
実務	職業被ばく及び公衆の成人に対しては【①】年、子供や乳幼児に対しては摂取から【②】歳までの年数。	①５０②７０	解説とくになし
実務	高エネルギーβ線の遮へいでは、制動放射線の発生を考慮する。	〇	β線のエネルギーが大きいほど，また，用いる遮へい体の原子番号が大きいほど発生しやすい
実務	γ線の遮へいには、原子番号の大きい物質が効果的である。	〇	原子番号Zに依存し、約Z⁴～Z⁵
実務	中性子線の遮へいには、水やパラフィンが用いられる。	〇	解説とくになし
実務	⁸⁵【①】や¹⁴⁷【②】などの線源を利用する機器は、その構造上破損しやすい。	①Kr②Pm	これらの機器はβ線を利用する。β線は透過力が弱いから窓部を薄くする必要がある
実務	薄窓型電離箱は【①】線の測定に適する。	①β	β線は透過力が弱いため、薄窓部しか透過できない
実務	ZnS(Ag)シンチレーション検出器は【①】線の検出に適する。	①α	ZnS(Ag)粉末膜は、α線を止め、β線やγ線を透過しやすい。
実務	プラスチックシンチレーション検出器は【①】線の検出に適する。	①β	構成元素が軽いため、跳ね返りが少ない
実務	³He比例計数管は【①】線の検出に適する。	①熱中性子	熱中性子捕獲断面積が圧倒的に大きい
実務	端窓型GM計数管は【①】線の検出に適する。	①β	β線は透過力が弱いため、薄窓部しか透過できない
実務	メタンガスを充てんした【①】は高エネルギーの中性子を、減速材を用いずに測定するのに適する。	①比例計数管	解説①
実務	【①】シンチレータを搭載したシンチレーション検出器は、高エネルギーの中性子を、減速材を用いずに測定するのに適する。	①プラスチック	解説①
実務	⁶⁰Coの実効線量率定数	0.305μSv・m²・MBq⁻¹・h⁻¹	解説とくになし
実務	個人線量計：蛍光ガラス線量計は、【①】を利用している。	①ラジオフォトルミネセンス	解説とくになし
実務	個人線量計：OSL線量計は、【①】を利用している。	①光刺激ルミネセンス	解説とくになし
実務	個人線量計：固体飛跡検出器では、コンバータと組合わせて【①】の線量測定に用いられる。	中性子	解説とくになし
実務	個人線量計：熱蛍光線量計では、【①】の面積から線量を求める。	①グローカーブ
実務	皮膚汚染の除去には、主に【①】が用いられる。	①中性洗剤やオレンジオイル	有機溶媒は皮膚透過を促進させることがあるので使用されない
実務	β・γ線放出核種による皮膚汚染を検出するためには、主に【①】サーベイメータが用いられる。	①GM	GMサーベイメータはβ線の検出効率が高い
実務	【①】シンチレーション式サーベイメータは、α線放出核種による皮膚汚染の検出に用いることができる。	①ZnS(Ag)	解説とくになし
実務	【①】線や【②】線放出核種による皮膚汚染は、ホールボディカウンタによる体内放射能の測定に過大評価をもたらすおそれがある。	①β②γ	体内汚染だけでなく、皮膚表面に付着した放射能も計測してしまう
実務	電子なだれが発生する過程では、多数の【①】が作られる。	①励起分子	解説とくになし
実務	励起分子は、短時間で可視光あるいは【①】線領域の光子を放出して基底状態に戻る。	①紫外	解説とくになし
実務	励起分子から放出された光子は、ある確率で、管壁内表面で【①】され、電子が放出される。	①光電吸収	解説とくになし
実務	GM計数管内で光電吸収される確率pと一つの電子なだれで作られる励起分子の数nとの積が、GM計数管では【①】である。	①np≧1	解説とくになし
実務	計数管内で電離すると【①】と【②】の電子対が生成される。	①電子②陽イオン
実務	GM計数管内で、陽イオンは最終的には陰極の表面に達して中性分子となるが、このとき、その表面から【①】が引き出され、その【①】が引き金となってガイガー放電を起こす。	①電子	解説とくになし
実務	消滅ガス＝【①】ガス	①有機	解説とくになし
実務	エリアモニタリングで評価に使用されるのは【①】率	①1cm線量当量	解説とくになし
実務	ガイガー放電が停止した後、電場が回復し、次の測定までに時間がかかる時間を【①】時間という。	①分解	解説とくになし
実務	観測された計数率をM[s⁻¹]、分解時間をτ[s]とすると、単位時間(1s)の計数で実際に有感であった時間は【①】で求められる。	①1-Mτ
物理	真空中に単独で存在する中性子の半減期は【①】分で【②】壊変する。	①10.2②β⁻
物理	真空中に単独で存在する陽子は【①】で他の粒子に変わることはない。	①安定
物理	光子の振動数をν、プランク定数をh、光速cとすると、運動量pは、p=【①】で表される。	①hν/c
物理	原子核の半径はその質量数の【①】に比例する。	①1/3乗
物理	陽子数が多い原子核の方が電子を引き付ける強さが強いため、原子番号が大きい原子の方が原子半径は【①】くなる。	 ①小さ
物理	α線のエネルギーは壊変前後の原子核の【①】の差異の大きさを反映したもの。	①エネルギー準位
物理	¹⁹²【①】は、β⁻壊変とβ⁺壊変の両方を壊変図式に持つ。	①Ir
物理	核反応前後の質量差をエネルギーに換算した値を核反応の【①】値という。	①Q
物理	非弾性散乱では、衝突の際に原子核が励起され、標的核のエネルギー状態が【①】状態になる。	①励起
物理	Q値が、正の場合は【①】反応、負の場合を【②】反応という。	①発熱②吸熱
物理	核反応断面積の入射エネルギー依存性を関数として表したものを【①】関数という。	①励起
物理	核反応後に放出される粒子の角度ごとに放出される割合を表すには【①】を用いる。	①微分断面積
物理	重荷電粒子の物質に対する質量衝突阻止能は、速度の２乗に【①】する。	①反比例
物理	重荷電粒子の物質に対する質量衝突阻止能は、物質の単位体積当たりの電子数に【①】する。	①比例
物理	重荷電粒子の物質に対する質量衝突阻止能は、運動エネルギーに【①】する。	①反比例
物理	重荷電粒子の物質に対する質量衝突阻止能は、物質の原子番号の２乗に【①】する。	①比例
物理	光子のエネルギーが【①】より高い場合のみに光電効果は起きる。	①Ｋ吸収端
物理	水の場合、入射光子のエネルギーが約50keVから約20keVまでの範囲であれば、【①】が主である。	①コンプトン
物理	10MeVの光子が鉛に入射した場合は主に【①】が起きる。	①電子対生成
物理	電子対生成は光子のエネルギーが【①】MeV以上の場合に起こる。	①1.022
物理	電子対生成では、光子のエネルギーがすべて使われ、【①】は消滅する。	①光子
物理	電子対生成は、光子と物質中の原子核付近の【①】との相互作用で起こる。	①電場
物理	電子対生成の原子当たりの断面積は物質の原子番号の【①】乗に比例する。	①２
物理	吸収線量D[Gy]とその時に流れた電気量Q[C]の関係式はD=【①】。	①WQ/mq	W：イオン対を作る平均エネルギー、m：気体の質量、q：電子１個の持つ素電荷
物理	粒子のエネルギーと運動量を表す式：E²=【①】	①p²c²+m²c⁴
化学	放射能の式：A＝【①】	①λN	λ：壊変定数　N原子数
化学	壊変定数の式：λ＝【①】	①ln2/T	ln2：２の自然対数　T:時間
化学	O（酸素）の安定同位体	¹⁶O、¹⁷O、¹⁸O
化学	Mg（マグネシウム）の安定同位体	²⁴Mg、²⁵Mg、²⁶Mg
化学	β⁻線を出す代表的核種：⁶⁰【①】、¹³⁷【②】	①Co②Cs
化学	³⁵Sはβ⁺壊変して³⁵【①】になる。	①Cl（塩素）
化学	¹³⁷Csの半減期	３０．０８年
化学	水中でのLETは、放射線の電荷の２乗に【①】し、エネルギーに【②】反比例する。	①比例②反比例
化学	線エネルギー付与とは、飛程の単位長さ当たりに【①】エネルギー。	①失う
化学	アラニン線量計は、その吸収線量に比例して生じる【①】の相対濃度を【②】を用いて測定する。	①ラジカル②電子スピン共鳴
化学	²⁴¹Am-Be密封中性子線源からは、中性子【①】が放出される。	①γ線
化学	²⁴¹Amからは【①】線、【②】線、【③】線が放出される。	①α②γ③Ｘ
化学	フリッケ線量計は【①】が【②】されて生成する【③】の生成量を測定する。	①Fe²⁺②酸化③Fe³⁺
化学	【①】とは、物質中で放射線のエネルギー100eVを吸収した際に生成するイオン数	①Ｇ値
生物	生体を構成する分子：【①】＞＞【②】＞核酸＞糖質・脂質	①水②タンパク質
生物	不要になったタンパク質は【①】される。	①分解
生物	核酸は【①】が鎖状に連結した高分子である。	①クヌレオチド
生物	γ線の利用：動物飼料の滅菌＝【①】Ｇｙ	①２０ｋＧｙ～５０ｋＧｙ
生物	γ線の利用：ウリミバエの不妊化＝【①】ｋＧｙ	①０．１～１
生物	γ線の利用：ジャガイモの芽止め＝【①】ｋＧｙ	①０．０３～０．１５
生物	γ線の利用：米の品種改良＝【①】Ｇｙ	①１０～１００
生物	放射線による脱毛は、【①】細胞が死滅することで起こる。	①毛のう
生物	放射線白内障のしきい線量は【①】Ｇｙ	①０．５
生物	５０ＧｙのＸ線を急性全身被ばくした場合、【①】により神経細胞が圧迫され神経機能が停止する。	①血管浸透性亢進
生物	遺伝的影響は【①】的影響。	①確率
生物	不妊は【①】的影響。	①確定
生物	白血病は【①】的影響。	①確率
生物	奇形は【①】的影響。	①確定
生物	環境中にあるトリチウムは、【①】との核反応により生成される。	①宇宙線
生物	日本における自然放射線源による年間の平均被ばく線量は、【①】被ばくの方が多い。	①内部
生物	日本における自然放射線源による年間の平均被ばく線量は、世界平均より【①】い。	①低
生物	ＤＮＡータンパク質架橋の生成頻度は、ＤＮＡ一本鎖切断の生成頻度よりも【①】い。	①低
生物	ＭＲＩ検査では、β⁻線源が用いられている。	×
生物	ＰＥＴ診断では、【①】線源が用いられる。	①β⁺
生物	急性被ばくにより、６０日以内に約５０％が死亡する線量は、【①】Gy程度である。	①３～５
生物	赤血球の寿命は【①】日。	①１２０
生物	リンパ球は【①】機能を担うため、失われると感染症にかかりやすくなる。	①免疫
生物	骨髄（赤色）の組織加重係数は【①】。	①０．１２
生物	固形がんと白血病の発症時期を比べると、白血病の方が早い。	〇
実務	⁶⁰Ｃｏの１ｃｍ線量当量率定数	０．３４７μＳｖ・ｍ²・ＭＢｑ⁻¹・ｈ⁻¹
実務	¹⁹²Ｉｒの１ｃｍ線量当量率定数	０．１３８μＳｖ・ｍ²・ＭＢｑ⁻¹・ｈ⁻¹
実務	²⁴¹Ａｍの１ｃｍ線量当量率定数	０．００５２４μＳｖ・ｍ²・ＭＢｑ⁻¹・ｈ⁻¹
実務	線源からＸメートル離れた位置の線フルエンス率[ｍ⁻²・ｓ⁻¹]の式	ＭＢｑ/４πｒ²
実務	⁶⁰Ｃｏからは１壊変あたり、２本の【①】線がでる。	①γ
実務	事業所境界の環境放射線測定には、【①】式サーベイメータが適する。	①ＮａＩ（Ｔｌ）シンチレーション
実務	シンチレータのエネルギー分解能とは、「似たエネルギーを【①】能力」。	①見分ける
実務	ＮａＩ（Ｔｌ）シンチレーション式サーベイメータは【①】管を使用する。	①光電子増倍
実務	ＮａＩ（Ｔｌ）シンチレーション式サーベイメータは【①】を用いることにより、【②】を改善できる。	①エネルギー補償回路②線量応答
実務	ＮａＩ（Ｔｌ）シンチレーション式サーベイメータは冷却して使用する。	×
実務	ＮａＩ（Ｔｌ）シンチレーション式サーベイメータはＴｌを添加することにより、シンチレーション効率を高めている。	〇
実務	固体飛跡検出器では、エッチング処理に、【①】溶液や【②】溶液などのアルカリ性溶液が用いられる。	①ＫＯＨ②ＮａＯＨ
実務	【①】では、線量の読み取りに失敗すると、二度と読み取ることはできない。	①ＴＬＤ
実務	ＯＳＬ線量計では、初期化時に【①】が用いられる。	①青い光
実務	蛍光ガラス線量計では、線量の読み取りに【①】が用いられる。	①紫外線
実務	頸部に装着する個人線量計は保護衣の【①】に装着する。	①内側
実務	個人線量計で測定された値は【①】の寄与分を差し引く。	①バックグラウンド
実務	手指に付けた個人線量計では、【①】線量当量を測定する。	①７０μｍ
実務	計数値の標準偏差σは計数値の【①】になる。	①平方根
実務	計数値が十分に大きい場合は、【①】が成立するので、【②】として近似できる。	①中心極限定理②正規分布
実務	端窓型ＧＭ管式サーベイメータでのバックグラウンドは【①】が主な原因である。	①二次宇宙線
実務	液体式シンチレーションカウンタでは、２つの【①】を利用してバックグラウンドの低減を図っている。	①光電子増倍管
実務	Ｇｅ検出器によるγ線の全吸収ピークでは、より高いエネルギーのγ線の【①】がバックグラウンドの主な原因である。	①コンプトン効果
実務	建材に含まれる⁴⁰【①】は、Ｕ（ウラン）やＴｈ（トリウム）のバックグラウンドの原因になる。	①Ｋ
実務	¹⁴⁷【①】はすべての同位体が放射性。	①Ｐｍ
実務	¹⁴⁷【①】は紙やプラスチック、ゴム板の厚み測定に利用される。	①Ｐｍ
実務	¹⁴⁷【①】の半減期は、【②】年。	①Ｐｍ②２．６
実務	⁸⁵【①】の半減期は、【②】年。	①Ｋｒ②１０．７
実務	⁹⁰【①】の半減期は、【②】年。	①Ｓｒ②２８．８
実務	⁹⁰【①】は壊変して、⁹⁰【②】になる。	①Ｓｒ②Ｙ
実務	⁹⁰Ｙのエネルギーは⁹⁰Ｓｒの【①】倍。	①２
実務	⁹⁰Ｓｒと⁹⁰Ｙは【①】平衡する。	①永続
実務	⁹⁰Ｓｒは原子番号の【①】い容器で保管し、【②】線を防ぎ、原子番号の【③】い物質で【④】を防ぐ。	①小さ②β⁻③大き④制動放射線
実務	銅板やアルミニウム板などの厚みを測定するときに、γ線を放出する²⁴¹【①】が利用される。	①Ａｍ
実務	²⁴¹Ａｍの半減期	①432.6年
実務	²⁴¹Amはα壊変して、²³⁷【①】になる。	①Np(ネプツニウム)
実務	²⁴¹Amのα線のエネルギーは、【①】MeV、γ線のエネルギーは【②】MeV。	①5.5②60
実務	【①】シンチレーション検出器は、汚染個所をふき取った試料を測定する場合に使用される。	①ZnS(Ag)
実務	²⁴¹Amの保管には、【①】容器が適切。	①鉛
実務	実効線量定数率の単位	μSv・m²・MBq⁻¹・h⁻¹
実務	鉛含有放射線防護衣はX線に対しては有効であるが、【①】に対しては、線量の低減効果は小さい。	①¹³⁷Cs
実務	¹³⁷Csの子孫核種は、¹³⁷m【①】であり、【②】する。	①Ba②核異性体転移
実務	¹³⁷Csの漏洩検査には、【①】型GM管が適している。	①端窓
実務	線源運搬時、表面から1m離れた位置における【①】線量等量が【②】μSv・h⁻¹を超えないこと。	①1cm②100
実務	電離箱式サーベイメータの測定範囲は、【①】μSv/h～【②】Sv/h。	①1②1
法令	下限数量の1000倍を超えない場合は、許可or届出。	①届出
法令	密封された複数の線源を1組として使用する場合で、その合計が下限数量を超える場合は、許可or届出。	許可
法令	放射線の測定を行う場所；事業所内において人が常時業務を行う区域	×
法令	密封された線源を業として賃貸しようとする者が、予め届け出る事項：放射性同位元素の1個当たりの数量	×
法令	密封された線源を業として賃貸しようとする者が、予め届け出る事項：貯蔵施設の位置、構造、設備及び貯蔵能力。	×
法令	貯蔵施設の技術上の基準：貯蔵室には、放射性同位元素を入れる耐火性の容器を備えること。	×
法令	密封された放射性同位元素のみを使用する許可使用者の許可証に記載されるべき事項：使用の方法	×
